,0,1,2,3,4
0,narrative,narratives,storytelling,prose,cinematic
1,bahrain,oman,emirates,qatar,uae
2,enormous,immense,huge,tremendous,considerable
3,karma,dharmachakra,chameleon,chophel,reincarnation
4,consist,consisting,consists,consisted,comprised
5,betty,grable,ellen,mrs,lehf
6,queens,bronx,brooklyn,manhattan,mahotella
7,academics,professors,intellectuals,professionals,educators
8,pubs,taverns,pub,cafes,coffeehouses
9,quantitative,qualitative,methodology,analyses,measurement
10,lucas,noonz,biglia,pyoot,nihz
11,screensavers,e-cards,barware,virtualisation,smeary
12,subdivision,arambag,rf&p,tamluk,contai
13,tribes,tribe,natives,tribal,clans
14,vip,vips,lounge,patrons,guests
15,defeat,victory,defeats,defeating,defeated
16,clicks,clicking,click,clicked,beeps
17,distinction,distinctions,exception,furthermore,regard
18,honduras,nicaragua,guatemala,rica,salvador
19,naughty,cute,raunchy,cheeky,treach
20,hazards,hazard,dangers,pose,perils
21,insured,insure,insuring,premiums,uninsured
22,harper,svahng,nokiacorp,nortelnet,wrldcom
23,livestock,cattle,sheep,animal,cows
24,mardi,gras,festivities,mardis,krewes
25,exemption,exemptions,exempt,exempted,waiver
26,tenant,tenants,landlord,landlords,rent
27,sustainability,sustainable,governance,ecological,emphasizes
28,cabinets,bookcases,cupboards,drawers,bookshelves
29,tattoo,tattoos,tattooed,tattooing,sported
30,shake,shaking,rattle,bring,let
31,algebra,algebras,geometry,mathematics,heyting
32,shadows,shadow,darkness,twilight,dark
33,holly,http://www.co.mo.md.us,golightly,yaupon,berry
34,formatting,on-the-fly,z-buffer,html,smocking
35,silly,ridiculous,stupid,goofy,ludicrous
36,nutritional,nutrition,supplements,supplement,dietary
37,yea,hahlt,shuhn,bohld,fenring
38,mercy,nku,compassion,begged,likewise
39,hartford,connecticut,spgfld,bridgeport,conn.
40,freely,permitted,letting,allowing,mingle
41,marcus,neiman,ginyard,nispel,brigstocke
42,sunrise,sunset,powerlink,naborsind,65stk
43,wrapping,wrapped,wrap,wraps,devonengy
44,mild,milder,mannered,unusually,severe
45,fur,furs,mink,trappers,pelts
46,nicaragua,honduras,guatemala,rica,nicaraguan
47,weblogs,swirlgirls,digex,smarterkids.com,microsites
48,timeline,timelines,chronology,oly-2004-doping,timetable
49,tar,lihb,alumhg,shehp,alumal
50,belongs,belong,belonged,refers,whereas
51,rj,oly-2004-fhockey,http://www.statoil.com,kehrv,oly-2004-box
52,readily,easily,seldom,likewise,furthermore
53,affiliation,affiliations,regardless,switched,affiliates
54,soc,system-on-chip,system-on-a-chip,eur2004-gre,afr2004-tun
55,fence,fences,barbed,perimeter,chain-link
56,nudist,naturist,nudists,lanikai,tahp
57,infinite,finite,unbounded,i.e.,discrete
58,diana,krall,princess,vreeland,scarwid
59,ensures,assures,ensuring,importantly,ensured
60,relatives,families,victims,grieving,parents
61,lindsay,davenport,serena,vachel,whalen
62,clan,clans,chieftains,xymox,feud
63,legally,obliged,technically,permitted,cannot
